time,latitude,longitude,mph,Transport
2021-04-03T18:04:00.000Z,32.85369484685361,-117.23547622561456,0.0,Walking
2021-04-03T18:04:04.000Z,32.85365017130971,-117.23544219508769,2.4662945480346683,Walking
2021-04-03T18:04:14.000Z,32.85356509499252,-117.23536449484527,2.3108179962158206,Walking
2021-04-03T18:04:19.000Z,32.853570207953446,-117.23532526753843,0.04921427307128906,Walking
2021-04-03T18:04:21.000Z,32.85357448272407,-117.23531277850272,0.07830319213867187,Walking
2021-04-03T18:04:22.000Z,32.85358152352273,-117.23530003800987,3.1988936157226564,Walking
2021-04-03T18:04:23.000Z,32.853581691160805,-117.23530515097082,0.0,Walking
2021-04-03T18:04:43.000Z,32.85344012081623,-117.23526525311172,2.0468553413391115,Walking
2021-04-03T18:04:48.000Z,32.853417489677675,-117.23524924367666,1.2840426422119142,Walking
2021-04-03T18:04:51.000Z,32.85341455601156,-117.23521831445395,2.095321512858073,Walking
2021-04-03T18:04:54.000Z,32.85341078415513,-117.23518042825162,2.6620240834554045,Walking
2021-04-03T18:05:05.000Z,32.853417070582516,-117.23506559617815,2.1292175209738997,Walking
2021-04-03T18:05:06.000Z,32.853414807468646,-117.23506400361656,0.2460713653564453,Walking
2021-04-03T18:05:12.000Z,32.85342243500054,-117.23504858091472,0.8948034133911134,Walking
2021-04-03T18:05:18.000Z,32.85347490571439,-117.23502435721457,2.326476359049479,Walking
2021-04-03T18:05:23.000Z,32.8535351715982,-117.23502167500557,2.9304713653564454,Walking
2021-04-03T18:05:34.000Z,32.85365955904126,-117.23505612462759,2.802350660844283,Walking
2021-04-03T18:05:47.000Z,32.85379568114877,-117.23512158729136,2.8736840902475214,Walking
2021-04-03T18:06:01.000Z,32.85394974052906,-117.23524815402924,3.317152988978795,Walking
2021-04-03T18:06:07.000Z,32.85399818792939,-117.23530640825628,2.8372618942260743,Walking
2021-04-03T18:06:21.000Z,32.85413422621786,-117.23545728251337,3.2580306167602537,Walking
2021-04-03T18:06:34.000Z,32.85427135415375,-117.23560865968466,3.6015687396709737,Walking
2021-04-03T18:06:36.000Z,32.85428836941719,-117.23562802188098,2.8969109039306633,Walking
2021-04-03T18:06:37.000Z,32.85429465584457,-117.23564252257349,3.1765700378417967,Walking
2021-04-03T18:06:39.000Z,32.854311084374785,-117.23566557280719,3.131786346435547,Walking
2021-04-03T18:06:53.000Z,32.8544554207474,-117.23579440265894,3.2388546731131425,Walking
2021-04-03T18:07:04.000Z,32.854588106274605,-117.23585190251471,3.19687661188299,Walking
2021-04-03T18:07:18.000Z,32.854766976088285,-117.23591778427362,3.3219463653564456,Walking
2021-04-03T18:07:32.000Z,32.85493461415172,-117.235987521708,3.1493750632149826,Walking
2021-04-03T18:07:39.000Z,32.855017930269234,-117.23599917255342,2.98160688999721,Walking
2021-04-03T18:07:47.000Z,32.855136198922985,-117.2359891142696,3.657491245269776,Walking
2021-04-03T18:08:00.000Z,32.85531640984118,-117.23595290444791,3.4897197899451617,Walking
2021-04-03T18:08:05.000Z,32.85538187250495,-117.23593069240452,3.382342907714844,Walking
2021-04-03T18:08:19.000Z,32.855559904128306,-117.23588165827096,3.245252343314035,Walking
2021-04-03T18:08:32.000Z,32.85573751665652,-117.23583111539484,3.4897197899451617,Walking
2021-04-03T18:08:48.000Z,32.85592535510659,-117.2357940673828,2.961227725982666,Walking
2021-04-03T18:09:00.000Z,32.85608746111393,-117.23568149842322,3.806630836486816,Walking
2021-04-03T18:09:14.000Z,32.856262810528285,-117.2356030438095,3.31874265398298,Walking
2021-04-03T18:09:28.000Z,32.85642759874463,-117.23550673574208,3.2931909833635604,Walking
2021-04-03T18:09:42.000Z,32.85661376081407,-117.23545753397049,3.3698752528599334,Walking
2021-04-03T18:09:56.000Z,32.856785506010056,-117.23538628779352,3.2596324724469867,Walking
2021-04-03T18:10:04.000Z,32.856846023350954,-117.23536424338819,2.041259086608887,Walking
2021-04-03T18:10:05.000Z,32.856846693903215,-117.23536415956914,0.13421453857421875,Walking
2021-04-03T18:10:12.000Z,32.85687913186848,-117.2353363316506,1.4540460989815849,Walking
2021-04-03T18:10:14.000Z,32.85688265226781,-117.23530791699886,2.438321807861328,Walking
2021-04-03T18:10:16.000Z,32.856872007250786,-117.23530330695213,1.2974982299804687,Walking
2021-04-03T18:10:27.000Z,32.85685172304511,-117.23530003800987,0.213529335715554,Walking
2021-04-03T18:10:37.000Z,32.85686144605279,-117.2352876327932,0.4608214538574219,Walking
2021-04-03T18:10:40.000Z,32.8568350430578,-117.23527170717716,2.4681548461914065,Walking
2021-04-03T18:10:44.000Z,32.85687267780304,-117.23521714098752,4.748027038574219,Walking
2021-04-03T18:10:49.000Z,32.85711818374693,-117.2351981140673,12.196128369140625,Walking
2021-04-03T18:10:50.000Z,32.857196303084486,-117.23519501276314,19.394751770019525,Walking
2021-04-03T18:10:52.000Z,32.85737684927881,-117.23519844934343,22.39239184570313,Driving
2021-04-03T18:10:54.000Z,32.85760081373155,-117.23520347848536,27.783570037841802,Driving
2021-04-03T18:10:56.000Z,32.85783190280199,-117.235199958086,28.66709219360352,Driving
2021-04-03T18:10:58.000Z,32.858065841719515,-117.23518336191772,29.069872344970705,Driving
2021-04-03T18:11:00.000Z,32.858302127569914,-117.23515218123795,29.483643615722656,Driving
2021-04-03T18:11:02.000Z,32.85854662768543,-117.23509619012476,30.915356384277345,Driving
2021-04-03T18:11:04.000Z,32.8587986715138,-117.23501186817884,32.48121542358398,Driving
2021-04-03T18:11:06.000Z,32.85904853604734,-117.23491095006466,32.738516845703124,Driving
