time,latitude,longitude,distanceinmeters,heartrate,HHMMSS,meters,seconds,mph
2021-02-19T20:11:50.000Z,32.86580870859325,-117.20949073322117,0.0,70,20:11:50.000Z,0.0,0,0.0
2021-02-19T20:11:57.000Z,32.865807032212615,-117.20948964357376,0.27000001072883606,73,20:11:57.000Z,0.27000001072883606,7,0.0862842891429152
2021-02-19T20:12:02.000Z,32.865807954221964,-117.20948939211667,0.5,76,20:12:02.000Z,0.22999998927116394,5,0.10290199519991876
2021-02-19T20:12:31.000Z,32.86579705774784,-117.20947380177677,2.9600000381469727,71,20:12:31.000Z,2.4600000381469727,29,0.18975931328740614
2021-02-19T20:12:39.000Z,32.865791860967875,-117.2094722930342,3.6600000858306885,75,20:12:39.000Z,0.7000000476837158,8,0.19573751333355904
2021-02-19T20:12:42.000Z,32.86577266640961,-117.2094791661948,5.869999885559082,79,20:12:42.000Z,2.2099997997283936,3,1.6479231839974722
2021-02-19T20:12:44.000Z,32.865765541791916,-117.2094810102135,6.670000076293945,82,20:12:44.000Z,0.8000001907348633,2,0.8948002133369446
2021-02-19T20:12:45.000Z,32.86576176993549,-117.20948042348027,7.090000152587891,85,20:12:45.000Z,0.4200000762939453,1,0.9395401706695558
2021-02-19T20:12:50.000Z,32.865741569548845,-117.20947975292802,9.34000015258789,88,20:12:50.000Z,2.25,5,1.00665
2021-02-19T20:12:52.000Z,32.86573838442564,-117.20947832800448,9.710000038146973,85,20:12:52.000Z,0.36999988555908203,2,0.41384487199783326
2021-02-19T20:13:00.000Z,32.86573234945536,-117.20948838628829,10.869999885559082,88,20:13:00.000Z,1.1599998474121094,8,0.3243649573326111
2021-02-19T20:13:01.000Z,32.86573218181729,-117.20948813483119,10.890000343322754,92,20:13:01.000Z,0.020000457763671875,1,0.044741024017333986
2021-02-19T20:13:04.000Z,32.86572572775185,-117.20948704518378,11.600000381469727,97,20:13:04.000Z,0.7100000381469727,3,0.5294233617782593
2021-02-19T20:13:18.000Z,32.86576512269676,-117.2095275297761,14.229999542236328,93,20:13:18.000Z,2.6299991607666016,14,0.4202362944739206
2021-02-19T20:13:23.000Z,32.86576369777322,-117.20953306183219,14.84000015258789,90,20:13:23.000Z,0.6100006103515625,5,0.27291427307128907
2021-02-19T20:13:25.000Z,32.86576721817255,-117.20953901298344,15.510000228881836,95,20:13:25.000Z,0.6700000762939453,2,0.7493950853347778
2021-02-19T20:13:29.000Z,32.86577886901796,-117.2095428686589,16.75,98,20:13:29.000Z,1.239999771118164,4,0.6934698719978333
2021-02-19T20:13:41.000Z,32.865768978372216,-117.20952786505222,17.40999984741211,101,20:13:41.000Z,0.6599998474121094,12,0.12303497155507406
2021-02-19T20:14:11.000Z,32.865777276456356,-117.20949023030698,24.020000457763672,96,20:14:11.000Z,6.6100006103515625,30,0.4928857121785482
2021-02-19T20:14:25.000Z,32.865767888724804,-117.20947606489062,26.1299991607666,99,20:14:25.000Z,2.1099987030029297,14,0.33714764990125384
2021-02-19T20:14:38.000Z,32.86578297615051,-117.20946399495006,29.059999465942383,102,20:14:38.000Z,2.9300003051757812,13,0.504185437129094
2021-02-19T20:14:44.000Z,32.865783562883735,-117.20946248620749,29.450000762939453,105,20:14:44.000Z,0.3900012969970703,6,0.14540548356374106
2021-02-19T20:15:42.000Z,32.86576780490577,-117.20943113788962,39.02000045776367,102,20:15:42.000Z,9.569999694824219,58,0.3691049882296858
2021-02-19T20:15:48.000Z,32.86576922982931,-117.20943088643253,39.34000015258789,99,20:15:48.000Z,0.31999969482421875,6,0.1193065528869629
2021-02-19T20:15:54.000Z,32.86575875245035,-117.20943004824221,40.56999969482422,96,20:15:54.000Z,1.2299995422363281,6,0.45858482933044437
