time,latitude,longitude,distanceinmeters,heartrate,HHMMSS,meters,seconds,mph
2021-04-10T01:26:19.000Z,32.867047134786844,-117.21599601209164,0.0,62,01:26:19.000Z,0.0,0,0.0
2021-04-10T01:27:03.000Z,32.86705459468067,-117.21594924107194,5.03000020980835,65,01:27:03.000Z,5.03000020980835,44,0.25572978339412
2021-04-10T01:27:10.000Z,32.867054510861635,-117.21573583781719,24.969999313354492,68,01:27:10.000Z,19.939999103546143,7,6.372253999233246
2021-04-10T01:27:13.000Z,32.86707856692374,-117.215634919703,34.58000183105469,66,01:27:13.000Z,9.610002517700195,3,7.16585854403178
2021-04-10T01:27:20.000Z,32.867156686261296,-117.21554523333907,45.029998779296875,63,01:27:20.000Z,10.449996948242188,7,3.339520453316825
2021-04-10T01:27:27.000Z,32.867243103682995,-117.21549578011036,55.95000076293945,63,01:27:27.000Z,10.920001983642578,7,3.4897206339154923
2021-04-10T01:27:32.000Z,32.86726791411638,-117.21532487310469,72.20999908447266,66,01:27:32.000Z,16.259998321533203,5,7.274723249053955
2021-04-10T01:27:46.000Z,32.86756111308932,-117.21492824144661,125.04000091552734,66,01:27:46.000Z,52.83000183105469,14,8.441479578290668
2021-04-10T01:27:58.000Z,32.86800803616643,-117.2147802170366,176.49000549316406,68,01:27:58.000Z,51.45000457763672,12,9.591138353347779
2021-04-10T01:28:09.000Z,32.86836778745055,-117.21473914571106,216.77000427246094,69,01:28:09.000Z,40.279998779296875,11,8.191487024480647
2021-04-10T01:28:24.000Z,32.86882493644953,-117.2148063685745,267.8900146484375,68,01:28:24.000Z,51.12001037597656,15,7.623697547403972
2021-04-10T01:28:33.000Z,32.869091061875224,-117.21488817594945,298.4100036621094,72,01:28:33.000Z,30.519989013671875,9,7.585912824842666
2021-04-10T01:28:41.000Z,32.86928292363882,-117.21496696583927,320.95001220703125,69,01:28:41.000Z,22.540008544921875,8,6.3027498893737794
2021-04-10T01:28:51.000Z,32.86956832744181,-117.21506612375379,353.8900146484375,66,01:28:51.000Z,32.94000244140625,10,7.368678546142578
2021-04-10T01:29:04.000Z,32.86980930715799,-117.21503720618784,384.0,65,01:29:04.000Z,30.1099853515625,13,5.181233633188102
2021-04-10T01:29:06.000Z,32.86986035294831,-117.2149356175214,395.0799865722656,65,01:29:06.000Z,11.079986572265625,2,12.392964981079102
2021-04-10T01:29:08.000Z,32.86988876760006,-117.21479111351073,408.9599914550781,65,01:29:08.000Z,13.8800048828125,2,15.524785461425783
2021-04-10T01:29:16.000Z,32.86989086307585,-117.21441141329706,444.55999755859375,68,01:29:16.000Z,35.600006103515625,8,9.954651706695557
2021-04-10T01:29:20.000Z,32.869905196130276,-117.21419842913747,464.6400146484375,69,01:29:20.000Z,20.08001708984375,4,11.229749557495118
2021-04-10T01:29:22.000Z,32.86994953639805,-117.21408208832145,476.6499938964844,69,01:29:22.000Z,12.009979248046875,2,13.43316178894043
2021-04-10T01:29:24.000Z,32.87002765573561,-117.21400044858456,488.3399963378906,68,01:29:24.000Z,11.69000244140625,2,13.075267730712891
2021-04-10T01:29:26.000Z,32.870135279372334,-117.21396851353347,500.70001220703125,66,01:29:26.000Z,12.360015869140625,2,13.82467774963379
2021-04-10T01:29:31.000Z,32.870589243248105,-117.2139463853091,551.1099853515625,66,01:29:31.000Z,50.40997314453125,5,22.55342198486328
2021-04-10T01:29:36.000Z,32.87115837447345,-117.2139376681298,614.219970703125,66,01:29:36.000Z,63.1099853515625,5,28.235407446289063
2021-04-10T01:29:40.000Z,32.87162155844271,-117.21392325125635,665.5399780273438,66,01:29:40.000Z,51.32000732421875,4,28.700714096069337
2021-04-10T01:29:45.000Z,32.87210770882666,-117.21394504420459,719.5,68,01:29:45.000Z,53.96002197265625,5,24.14171383056641
2021-04-10T01:29:50.000Z,32.8725079447031,-117.21397949382663,764.1799926757812,67,01:29:50.000Z,44.67999267578125,5,19.98982872314453
2021-04-10T01:29:52.000Z,32.872618585824966,-117.21410069614649,780.8200073242188,67,01:29:52.000Z,16.6400146484375,2,18.611856384277345
2021-04-10T01:29:54.000Z,32.87265378981829,-117.21425249241292,795.9099731445312,67,01:29:54.000Z,15.0899658203125,2,16.87812677001953
2021-04-10T01:29:56.000Z,32.87265152670443,-117.21444242633879,813.6900024414062,68,01:29:56.000Z,17.780029296875,2,19.88696276855469
2021-04-10T01:30:01.000Z,32.87251716479659,-117.21509261056781,876.2899780273438,69,01:30:01.000Z,62.5999755859375,5,28.00722907714844
2021-04-10T01:30:05.000Z,32.872380120679736,-117.21568135544658,933.4299926757812,69,01:30:05.000Z,57.1400146484375,4,31.955553192138673
2021-04-10T01:30:10.000Z,32.872255984693766,-117.2162049729377,984.22998046875,68,01:30:10.000Z,50.79998779296875,5,22.72791453857422
2021-04-10T01:30:11.000Z,32.87226093001664,-117.21628367900848,991.6199951171875,68,01:30:11.000Z,7.3900146484375,1,16.53146276855469
2021-04-10T01:30:13.000Z,32.872311221435666,-117.21640546806157,1004.9000244140625,68,01:30:13.000Z,13.280029296875,2,14.853712768554688
2021-04-10T01:30:15.000Z,32.87244533188641,-117.21644955687225,1019.9299926757812,67,01:30:15.000Z,15.02996826171875,2,16.811019500732424
2021-04-10T01:30:24.000Z,32.87290072068572,-117.21653329208493,1070.1800537109375,67,01:30:24.000Z,50.25006103515625,9,12.489931837293836
2021-04-10T01:30:28.000Z,32.87298001348972,-117.21657956019044,1079.8800048828125,70,01:30:28.000Z,9.699951171875,4,5.424697692871094
2021-04-10T01:30:35.000Z,32.872951263561845,-117.21686605364084,1109.72998046875,68,01:30:35.000Z,29.8499755859375,7,9.539199340820312
2021-04-10T01:30:41.000Z,32.87275956943631,-117.217154558748,1144.0999755859375,66,01:30:41.000Z,34.3699951171875,6,12.814279846191408
2021-04-10T01:30:43.000Z,32.872727466747165,-117.2172618471086,1154.739990234375,66,01:30:43.000Z,10.6400146484375,2,11.900856384277345
2021-04-10T01:30:54.000Z,32.87277180701494,-117.2177970316261,1206.1800537109375,64,01:30:54.000Z,51.4400634765625,11,10.46103836337003
2021-04-10T01:30:58.000Z,32.87282461300492,-117.21780524589121,1211.52001953125,64,01:30:58.000Z,5.3399658203125,4,2.9863758850097657
2021-04-10T01:31:23.000Z,32.87326818332076,-117.21785897389054,1262.5400390625,66,01:31:23.000Z,51.02001953125,25,4.5652713476562505
2021-04-10T01:31:27.000Z,32.873253682628274,-117.21787531860173,1264.06005859375,65,01:31:27.000Z,1.52001953125,4,0.8500709228515625
2021-04-10T01:31:38.000Z,32.87299099378288,-117.21784707158804,1293.510009765625,64,01:31:38.000Z,29.449951171875,11,5.989049161044035
2021-04-10T01:31:54.000Z,32.87300918251276,-117.21767247654498,1312.5,67,01:31:54.000Z,18.989990234375,16,2.6550380096435546
2021-04-10T01:31:59.000Z,32.87300918251276,-117.21767247654498,1312.5,66,01:31:59.000Z,0.0,5,0.0
